Date,SentimentSum
2015-11-01,673
2015-11-02,347
2015-04-27,357
2015-04-28,640
2015-04-29,646
2015-04-30,667
2015-05-01,636
2015-05-02,554
2015-05-03,437
2015-05-04,552
2015-05-05,680
2015-05-06,599
2015-05-07,534
2015-05-08,616
2015-05-09,520
2015-05-10,496
2015-05-11,540
2015-05-12,600
2015-05-13,647
2015-05-14,601
2015-05-15,550
2015-05-16,573
2015-05-17,486
2015-05-18,573
2015-05-19,637
2015-05-20,547
2015-05-21,475
2015-05-22,544
2015-05-23,460
2015-05-24,413
2015-05-25,479
2015-05-26,478
2015-05-27,582
2015-05-28,731
2015-05-29,493
2015-05-30,547
2015-05-31,540
2015-06-01,677
2015-06-02,693
2015-06-03,707
2015-06-04,623
2015-06-05,567
2015-06-06,587
2015-06-07,479
2015-06-08,2524
2015-06-09,1111
2015-06-10,792
2015-06-11,653
2015-06-12,1016
2015-06-13,736
2015-06-14,595
2015-06-15,480
2015-06-16,599
2015-06-17,541
2015-06-18,621
2015-06-19,665
2015-06-20,518
2015-06-21,623
2015-06-22,1017
2015-06-23,673
2015-06-24,748
2015-06-25,665
2015-06-26,674
2015-06-27,577
2015-06-28,545
2015-06-29,570
2015-06-30,2002
2015-07-01,1665
2015-07-02,1204
2015-07-03,943
2015-07-04,786
2015-07-05,669
2015-07-06,727
2015-07-07,803
2015-07-08,859
2015-07-09,524
2015-07-10,265
2015-07-11,712
2015-07-12,605
2015-07-13,706
2015-07-14,704
2015-07-15,758
2015-07-16,755
2015-07-17,736
2015-07-18,589
2015-07-19,654
2015-07-20,626
2015-07-21,923
2015-07-22,657
2015-07-23,514
2015-07-24,663
2015-07-25,660
2015-07-26,601
2015-07-27,758
2015-07-28,709
2015-07-29,637
2015-07-30,657
2015-07-31,724
2015-08-01,528
2015-08-02,544
2015-08-03,551
2015-08-04,622
2015-08-05,617
2015-08-06,635
2015-08-07,731
2015-08-08,603
2015-08-09,530
2015-08-10,667
2015-08-11,594
2015-08-12,641
2015-08-13,570
2015-08-14,697
2015-08-15,575
2015-08-16,559
2015-08-17,522
2015-08-18,643
2015-08-19,553
2015-08-20,640
2015-08-21,595
2015-08-22,596
2015-08-23,555
2015-08-24,565
2015-08-25,618
2015-08-26,634
2015-08-27,622
2015-08-28,727
2015-08-29,617
2015-08-30,572
2015-08-31,709
2015-09-01,720
2015-09-02,631
2015-09-03,675
2015-09-04,693
2015-09-05,695
2015-09-06,591
2015-09-07,691
2015-09-08,855
2015-09-09,5860
2015-09-10,1611
2015-09-11,893
2015-09-12,876
2015-09-13,788
2015-09-14,875
2015-09-15,867
2015-09-16,1026
2015-09-17,1013
2015-09-18,1059
2015-09-19,1045
2015-09-20,1043
2015-09-21,1297
2015-09-22,1096
2015-09-23,1104
2015-09-24,956
2015-09-25,1290
2015-09-26,1213
2015-09-27,1063
2015-09-28,957
2015-09-29,922
2015-09-30,961
2015-10-01,969
2015-10-02,838
2015-10-03,869
2015-10-04,1003
2015-10-05,883
2015-10-06,817
2015-10-07,857
2015-10-08,796
2015-10-09,854
2015-10-10,1148
2015-10-11,1167
2015-10-12,1027
2015-10-13,915
2015-10-14,802
2015-10-15,665
2015-10-16,729
2015-10-17,1003
2015-10-18,1045
2015-10-19,833
2015-10-20,885
2015-10-21,1033
2015-10-22,1248
2015-10-23,969
2015-10-24,880
2015-10-25,914
2015-10-26,909
2015-10-27,829
2015-10-28,784
2015-10-29,910
2015-10-30,886
2015-10-31,954
2016-03-29,962
2016-03-30,791
2016-04-04,641
2016-04-05,732
2016-03-31,852
2016-04-01,1270
2016-03-28,858
2016-03-22,948
2016-03-23,870
2016-03-24,697
2016-04-06,700
2016-03-25,937
2016-04-03,661
2016-03-21,2101
2016-03-17,663
2016-03-18,700
2016-03-27,676
2016-03-20,566
2016-03-16,668
2016-04-02,672
2016-03-15,610
2016-03-08,586
2016-03-09,620
2016-03-19,659
2016-03-14,653
2016-03-10,643
2016-03-03,705
2016-03-04,884
2016-03-26,854
2016-03-11,699
2016-03-06,532
2016-03-07,710
2016-03-02,674
2016-03-12,587
2016-03-13,479
2016-01-10,480
2016-01-11,592
2016-03-05,674
2016-01-16,529
2016-01-17,527
2016-01-19,494
2016-01-20,514
2016-01-21,564
2016-02-11,586
2016-02-12,741
2015-12-31,749
2016-01-01,692
2016-01-18,545
2016-01-13,628
2016-01-14,564
2015-11-09,659
2015-11-10,720
2016-02-22,691
2016-02-23,775
2015-12-27,589
2015-12-28,561
2016-01-09,508
2016-02-24,659
2016-02-25,797
2015-11-19,742
2015-11-20,711
2015-12-21,659
2016-02-10,512
2016-01-02,494
2016-01-03,525
2015-12-16,588
2015-12-22,620
2015-12-23,561
2015-11-03,861
2015-12-20,519
2015-12-24,639
2015-12-08,681
2015-11-07,676
2015-11-08,668
2016-02-29,377
2016-03-01,758
2015-11-25,674
2015-11-17,701
2015-11-18,664
2015-12-14,547
2015-12-15,659
2015-11-15,626
2016-01-08,706
2016-01-12,528
2015-11-11,812
2015-11-30,610
2015-12-01,649
2015-11-22,655
2015-11-23,561
2015-12-29,606
2015-12-06,470
2015-12-09,687
2015-11-13,760
2015-11-14,657
2016-01-05,577
2016-01-06,581
2015-12-07,591
2016-01-04,596
2015-11-12,822
2016-01-15,588
2016-02-14,654
2016-01-22,670
2016-02-16,685
2016-02-17,1109
2015-12-05,591
2016-01-07,540
2016-02-26,623
2015-12-25,693
2016-02-20,811
2016-02-21,653
2015-11-16,655
2016-02-15,585
2015-12-11,712
2015-12-12,519
2015-12-30,600
2015-11-24,561
2015-12-26,549
2015-12-10,768
2016-02-13,672
2016-02-19,1040
2015-11-21,584
2015-12-18,675
2015-12-17,636
2015-12-03,663
2015-12-04,670
2016-01-23,301
2015-12-19,523
2016-02-18,1032
2015-11-05,827
2015-11-04,766
2015-11-27,944
2015-11-28,688
2015-12-02,678
2015-11-06,750
2015-12-13,576
2015-11-26,280
2015-11-29,585
2016-02-09,71
2016-04-09,0
